scenario,seed,day_err_m,night_err_m,diff_m,day_pass,night_pass
Baseline (ATL→MCN 128 km),1,20.38,14.77,5.61,1,1
Baseline (ATL→MCN 128 km),2,103.54,33.16,70.38,0,1
Baseline (ATL→MCN 128 km),3,47.91,84.86,-36.95,1,0
Baseline (ATL→MCN 128 km),4,19.16,9.28,9.87,1,1
Baseline (ATL→MCN 128 km),5,64.44,29.89,34.55,0,1
Baseline (ATL→MCN 128 km),6,9.86,25.64,-15.78,1,1
Baseline (ATL→MCN 128 km),7,50.23,26.91,23.32,0,1
Baseline (ATL→MCN 128 km),8,48.45,32.15,16.3,1,1
Baseline (ATL→MCN 128 km),9,43.03,26.69,16.34,1,1
Baseline (ATL→MCN 128 km),10,18.74,36.87,-18.13,1,1
Baseline (ATL→MCN 128 km),11,13.05,24.11,-11.06,1,1
Baseline (ATL→MCN 128 km),12,7.02,22.02,-14.99,1,1
Baseline (ATL→MCN 128 km),13,44.82,56.17,-11.35,1,0
Baseline (ATL→MCN 128 km),14,37.24,39.13,-1.89,1,1
Baseline (ATL→MCN 128 km),15,15.48,9.93,5.55,1,1
Baseline (ATL→MCN 128 km),16,37.25,26.48,10.77,1,1
Baseline (ATL→MCN 128 km),17,45.46,36.47,8.99,1,1
Baseline (ATL→MCN 128 km),18,2.63,30.75,-28.12,1,1
Baseline (ATL→MCN 128 km),19,30.19,25.84,4.36,1,1
Baseline (ATL→MCN 128 km),20,37.67,26.49,11.18,1,1
Baseline (ATL→MCN 128 km),21,35.96,23.88,12.08,1,1
Baseline (ATL→MCN 128 km),22,28.82,5.2,23.63,1,1
Baseline (ATL→MCN 128 km),23,18.34,50.75,-32.41,1,0
Baseline (ATL→MCN 128 km),24,75.18,45.27,29.91,0,1
Baseline (ATL→MCN 128 km),25,4.56,29.06,-24.5,1,1
Baseline (ATL→MCN 128 km),26,30.7,34.3,-3.6,1,1
Baseline (ATL→MCN 128 km),27,5.34,19.99,-14.64,1,1
Baseline (ATL→MCN 128 km),28,20.04,23.09,-3.05,1,1
Baseline (ATL→MCN 128 km),29,9.55,34.4,-24.85,1,1
Baseline (ATL→MCN 128 km),30,6.4,37.62,-31.22,1,1
Much Longer (ATL→JAX 435 km),1,26.39,15.7,10.68,1,1
Much Longer (ATL→JAX 435 km),2,36.03,32.29,3.74,1,1
Much Longer (ATL→JAX 435 km),3,115.14,70.46,44.68,0,0
Much Longer (ATL→JAX 435 km),4,10.2,32.44,-22.24,1,1
Much Longer (ATL→JAX 435 km),5,42.82,41.67,1.15,1,1
Much Longer (ATL→JAX 435 km),6,48.26,33.47,14.8,1,1
Much Longer (ATL→JAX 435 km),7,47.55,30.99,16.56,1,1
Much Longer (ATL→JAX 435 km),8,16.74,40.01,-23.28,1,1
Much Longer (ATL→JAX 435 km),9,11.14,4.89,6.26,1,1
Much Longer (ATL→JAX 435 km),10,45.3,6.32,38.98,1,1
Much Longer (ATL→JAX 435 km),11,14.28,36.04,-21.76,1,1
Much Longer (ATL→JAX 435 km),12,3.51,31.52,-28.01,1,1
Much Longer (ATL→JAX 435 km),13,86.21,67.03,19.18,0,0
Much Longer (ATL→JAX 435 km),14,45.53,48.63,-3.11,1,1
Much Longer (ATL→JAX 435 km),15,34.8,28.61,6.19,1,1
Much Longer (ATL→JAX 435 km),16,32.0,22.63,9.37,1,1
Much Longer (ATL→JAX 435 km),17,47.38,72.49,-25.12,1,0
Much Longer (ATL→JAX 435 km),18,19.73,6.28,13.44,1,1
Much Longer (ATL→JAX 435 km),19,46.4,23.19,23.21,1,1
Much Longer (ATL→JAX 435 km),20,26.33,24.39,1.93,1,1
Much Longer (ATL→JAX 435 km),21,27.59,17.8,9.78,1,1
Much Longer (ATL→JAX 435 km),22,17.78,7.16,10.62,1,1
Much Longer (ATL→JAX 435 km),23,26.98,44.41,-17.43,1,1
Much Longer (ATL→JAX 435 km),24,90.41,30.41,59.99,0,1
Much Longer (ATL→JAX 435 km),25,18.31,6.73,11.58,1,1
Much Longer (ATL→JAX 435 km),26,14.71,29.62,-14.91,1,1
Much Longer (ATL→JAX 435 km),27,29.27,9.72,19.54,1,1
Much Longer (ATL→JAX 435 km),28,62.27,22.92,39.36,0,1
Much Longer (ATL→JAX 435 km),29,14.86,33.16,-18.3,1,1
Much Longer (ATL→JAX 435 km),30,88.93,72.94,15.99,0,0
