name,hr,ra_deg,dec_deg,magnitude
Alpheratz,15,2.096916,29.090430,2.06
Ankaa,99,6.570944,-42.305981,2.40
Schedar,168,10.126838,56.537331,2.24
Diphda,188,11.072855,-17.986606,2.04
Achernar,472,24.428523,-57.236753,0.46
Hamal,617,31.793357,23.462423,2.00
Polaris,424,37.954560,89.264109,1.97
Acamar,897,44.565338,-40.304672,2.88
Menkar,911,45.569884,4.089737,2.54
Mirfak,1017,51.080727,49.861179,1.79
Aldebaran,1457,68.980163,16.509302,0.85
Rigel,1713,78.634467,-8.201638,0.12
Capella,1708,79.172328,45.997991,0.08
Bellatrix,1790,81.282763,6.349703,1.64
Elnath,1791,81.572571,28.607452,1.65
Alnilam,1903,84.053413,-1.201919,1.70
Betelgeuse,2061,88.792939,7.407064,0.42
Canopus,2326,95.987958,-52.695661,-0.72
Sirius,2491,101.287155,-16.716116,-1.46
Adhara,2618,104.656450,-28.972086,1.50
Procyon,2943,114.825494,5.224988,0.38
Pollux,2990,116.328942,28.026200,1.14
Avior,3307,125.628484,-59.509488,1.86
Suhail,3634,136.998993,-43.432589,2.21
Miaplacidus,3685,138.299943,-69.717208,1.67
Alphard,3748,141.896862,-8.658602,1.99
Regulus,3982,152.092962,11.967209,1.36
Dubhe,4301,165.932016,61.751035,1.79
Denebola,4534,177.264915,14.572469,2.14
Gienah,4662,183.785660,-17.541929,2.58
Acrux,4730,186.649563,-63.098810,0.77
Gacrux,4763,187.791533,-57.113213,1.59
Alioth,4905,193.506838,55.959820,1.76
Spica,5056,201.298247,-11.161319,0.97
Alkaid,5191,206.885157,49.313267,1.85
Hadar,5267,210.955768,-60.373039,0.61
Menkent,5288,211.670617,-36.369954,2.06
Arcturus,5340,213.915300,19.182409,-0.04
Rigil Kentaurus,5459,219.902087,-60.833975,-0.01
Zubenelgenubi,5531,222.719645,-16.041777,2.75
Kochab,5563,222.676357,74.155504,2.07
Alphecca,5793,233.671860,26.714693,2.23
Antares,6134,247.351915,-26.432003,0.96
Atria,6217,252.166199,-69.027712,1.92
Sabik,6378,257.594542,-15.724899,2.43
Shaula,6527,263.402167,-37.103837,1.62
Rasalhague,6556,263.733627,12.560035,2.08
Eltanin,6705,269.151704,51.488895,2.23
Kaus Australis,6879,276.042993,-34.384616,1.85
Vega,7001,279.234735,38.783690,0.03
Nunki,7121,283.816360,-26.296724,2.05
Altair,7557,297.695827,8.868322,0.77
Peacock,7790,306.411904,-56.735090,1.94
Deneb,7924,310.357980,45.280339,1.25
Enif,8308,326.046500,9.875009,2.38
Alnair,8425,332.058268,-46.960972,1.73
Fomalhaut,8728,344.412693,-29.622237,1.16
Markab,8781,346.190236,15.205264,2.49
